Data,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),"VENTO, RAJADA MAXIMA (m/s)"
2018-01-01,1008.8,27.0,23.35,2.7
2018-01-02,1007.65,26.6,23.05,4.3
2018-01-03,1007.85,25.2,23.2,3.0
2018-01-04,1009.3,26.95,23.1,4.15
2018-01-05,1010.15,25.55,23.0,2.95
2018-01-06,1009.8499999999999,24.75,23.2,2.4
2018-01-07,1009.05,25.55,21.55,3.6
2018-01-08,1008.7,25.55,22.299999999999997,3.8499999999999996
2018-01-09,1009.45,24.6,22.7,1.3
2018-01-10,1009.8499999999999,23.9,22.35,2.05
2018-01-11,1009.4,28.8,23.0,3.7
2018-01-12,1009.1,25.1,22.2,3.3
2018-01-13,1008.8499999999999,25.15,22.1,3.35
2018-01-14,1008.75,24.75,22.25,3.1
2018-01-15,1008.0999999999999,25.0,22.55,2.6
2018-01-16,1008.6,25.8,22.65,2.45
2018-01-17,1007.7,25.200000000000003,22.65,3.75
2018-01-18,1008.7,24.4,23.0,2.5999999999999996
2018-01-19,1009.6,25.35,22.25,2.85
2018-01-20,1009.0,24.9,23.200000000000003,2.25
2018-01-21,1008.25,25.1,22.85,2.3
2018-01-22,1006.95,25.799999999999997,23.5,2.85
2018-01-23,1006.45,25.75,23.3,2.9
2018-01-24,1007.0,25.25,23.2,4.1
2018-01-25,1007.5,24.700000000000003,22.35,3.3499999999999996
2018-01-26,1007.45,25.9,22.35,3.6
2018-01-27,1006.45,25.200000000000003,23.0,2.7
2018-01-28,1007.05,24.1,22.6,3.05
2018-01-29,1006.1500000000001,25.6,22.35,2.5
2018-01-30,1005.5999999999999,26.35,23.15,3.6
2018-01-31,1005.75,25.1,23.2,2.95
2018-02-01,1006.4,25.85,23.75,2.9
2018-02-02,1006.1500000000001,24.85,23.15,4.6
2018-02-03,1006.3,24.3,23.2,1.2000000000000002
