Date,Open,High,Low,Close,Adj Close,Volume
2020-03-18,11.790000,12.270000,10.870000,11.290000,11.289389,162515200
2020-03-19,11.070000,13.070000,10.850000,12.210000,12.209339,157065200
2020-03-20,13.110000,13.500000,11.830000,12.000000,11.999351,149029900
2020-03-23,12.110000,12.180000,11.280000,11.500000,11.499378,107092400
2020-03-24,12.570000,13.540000,12.280000,13.250000,13.249283,114259200
2020-03-25,13.240000,14.790000,12.830000,14.320000,14.319224,158286200
2020-03-26,14.400000,15.190000,13.810000,14.390000,14.389221,130618400
2020-03-27,13.300000,13.690000,13.250000,13.300000,13.299280,101405900
2020-03-30,13.150000,13.740000,12.830000,13.380000,13.379276,110947200
2020-03-31,13.600000,14.540000,13.600000,13.990000,13.989244,156116500
2020-04-01,13.450000,14.550000,13.320000,14.300000,14.299227,114455000
2020-04-02,15.400000,16.549999,15.010000,15.510000,15.509161,234951200
2020-04-03,16.299999,16.360001,14.930000,15.340000,15.339170,142898700
2020-04-06,16.049999,16.100000,15.180000,15.770000,15.769147,123934200
2020-04-07,16.610001,17.070000,16.340000,16.400000,16.399111,140498900
2020-04-08,16.500000,17.530001,16.400000,17.320000,17.319061,116151600
2020-04-09,17.940001,18.690001,16.500000,16.820000,16.819088,185771300
2020-04-13,16.820000,17.090000,16.330000,16.930000,16.929085,93724000
2020-04-14,17.020000,17.299999,16.610001,16.730000,16.729095,91017200
2020-04-15,16.040001,16.469999,15.860000,16.379999,16.379114,86749600
2020-04-16,16.670000,16.760000,15.530000,15.720000,15.719150,115633300
2020-04-17,15.750000,16.129999,15.560000,16.129999,16.129126,116733000
2020-04-20,15.480000,16.330000,15.340000,15.950000,15.949136,133739400
2020-04-22,15.850000,16.750000,15.780000,16.750000,16.749092,114967100
2020-04-23,17.200001,17.430000,16.620001,16.950001,16.949537,94759000
2020-04-24,16.690001,16.790001,15.280000,15.950000,15.949564,161188800
2020-04-27,16.139999,16.530001,15.780000,16.450001,16.449553,85944900
2020-04-28,17.040001,17.250000,16.629999,17.250000,17.250000,91613600
2020-04-29,17.799999,18.480000,17.530001,18.200001,18.200001,94528400
2020-04-30,17.980000,18.420000,17.700001,18.049999,18.049999,80263900
2020-05-04,17.430000,17.620001,17.180000,17.379999,17.379999,60268400
2020-05-05,17.900000,18.480000,17.870001,17.940001,17.940001,75043400
2020-05-06,17.870001,18.059999,17.280001,17.280001,17.280001,67937500
2020-05-07,17.750000,17.870001,17.350000,17.440001,17.440001,81265100
2020-05-08,17.740000,18.580000,17.709999,18.480000,18.480000,83232700
2020-05-11,18.299999,18.930000,18.110001,18.150000,18.150000,65061500
2020-05-12,18.530001,18.830000,18.129999,18.139999,18.139999,71837200
2020-05-13,18.260000,18.350000,17.520000,17.590000,17.590000,87222300
2020-05-14,17.400000,17.469999,16.719999,17.400000,17.400000,119653200
2020-05-15,17.990000,18.190001,17.150000,17.150000,17.150000,133733100
2020-05-18,18.100000,18.540001,17.920000,18.540001,18.540001,116999500
2020-05-19,18.510000,18.930000,18.410000,18.680000,18.680000,80131600
2020-05-20,19.090000,19.440001,19.059999,19.299999,19.299999,74595100
2020-05-21,19.500000,19.770000,19.070000,19.190001,19.190001,81327000
2020-05-22,18.799999,18.900000,18.350000,18.670000,18.670000,71259400
2020-05-25,19.480000,19.559999,19.260000,19.480000,19.480000,38033000
2020-05-26,19.980000,20.090000,19.330000,19.670000,19.670000,68716900
2020-05-27,19.799999,19.930000,19.150000,19.930000,19.930000,74790800
2020-05-28,19.690001,20.080000,19.450001,19.770000,19.770000,65023000
2020-05-29,19.549999,20.340000,19.299999,20.340000,20.340000,128832600
2020-06-01,20.150000,20.559999,20.000000,20.330000,20.330000,86579500
2020-06-02,20.750000,21.400000,20.600000,21.400000,21.400000,77235100
2020-06-03,21.860001,21.910000,21.410000,21.469999,21.469999,86219700
2020-06-04,21.389999,21.780001,21.040001,21.430000,21.430000,107401400
2020-06-05,22.290001,23.030001,22.059999,22.100000,22.100000,114137700
2020-06-08,22.549999,22.590000,22.010000,22.530001,22.530001,82444400
2020-06-09,22.030001,22.040001,21.639999,21.719999,21.719999,96488300
2020-06-10,21.889999,21.900000,21.000000,21.400000,21.400000,102551100
2020-06-12,20.620001,21.170000,20.100000,20.600000,20.600000,116746700
2020-06-15,19.809999,21.090000,19.540001,20.700001,20.700001,99931000
2020-06-16,21.559999,21.910000,21.170000,21.370001,21.370001,94510600
2020-06-17,21.480000,21.850000,21.150000,21.440001,21.440001,63268700
2020-06-18,21.180000,21.770000,21.080000,21.600000,21.600000,56893300
2020-06-19,22.000000,22.219999,21.219999,21.469999,21.469999,91139800
2020-06-22,21.600000,21.600000,20.900000,20.950001,20.950001,45419000
2020-06-23,21.219999,22.070000,21.139999,21.650000,21.650000,78950900
2020-06-24,21.490000,21.559999,20.709999,21.000000,21.000000,65162400
2020-06-25,20.910000,21.469999,20.730000,21.469999,21.469999,47263500
2020-06-26,21.209999,21.469999,20.780001,20.840000,20.840000,55499300
2020-06-29,21.100000,21.660000,20.930000,21.660000,21.660000,59809600
2020-06-30,21.340000,21.799999,21.090000,21.549999,21.549999,65010600
2020-07-01,21.750000,22.250000,21.520000,21.709999,21.709999,78983900
2020-07-02,22.100000,22.209999,21.860001,22.059999,22.059999,56345900
2020-07-03,21.950001,22.180000,21.799999,21.980000,21.980000,24060000
2020-07-06,22.389999,22.860001,22.309999,22.510000,22.510000,58070900
2020-07-07,22.340000,22.469999,22.139999,22.230000,22.230000,46591300
2020-07-08,22.450001,22.760000,22.400000,22.650000,22.650000,49136300
2020-07-09,22.780001,22.809999,22.059999,22.139999,22.139999,57151500
2020-07-10,22.190001,22.650000,22.059999,22.510000,22.510000,57428300
2020-07-13,22.610001,22.650000,22.160000,22.160000,22.160000,55425500
2020-07-14,22.129999,22.959999,21.860001,22.900000,22.900000,89380500
2020-07-15,23.200001,23.430000,22.850000,23.340000,23.340000,58390600
2020-07-16,23.160000,23.280001,22.520000,22.719999,22.719999,69698700
2020-07-17,22.830000,23.030001,22.580000,22.740000,22.740000,49418800
