Data Medicao,PRECIPITACAO_TOTAL_mm,TEMPERATURA_MEDIA_C,UMIDADE_RELATIVA_DO_AR_%
2018-01-01,9.6,21.595833,86.791667
2018-01-02,7.4,20.579167,91.541667
2018-01-03,30,20.7875,91.958333
2018-01-04,17.4,23.254167,71.166667
2018-01-05,0,23.433333,71.5
2018-01-06,0,21.6875,83.625
2018-01-07,2.8,19.133333,88.625
2018-01-08,2.6,19.516667,89.833333
2018-01-09,3.4,20.9625,83.708333
2018-01-10,.2,23.154167,72.583333
2018-01-11,.4,22.579167,75.208333
2018-01-12,33.6,19.65,86.291667
2018-01-13,20.4,20.7875,82.041667
2018-01-14,37.2,22.0375,77.125
2018-01-15,4.2,22.5625,79
2018-01-16,1.6,22.75,80.083333
2018-01-17,0,23.895833,73.416667
2018-01-18,4.4,24.7625,70.375
2018-01-19,1.8,23.8375,71.166667
2018-01-20,.8,23.891667,70.791667
2018-01-21,2,24.541667,66.416667
2018-01-22,0,25.4375,62.25
2018-01-23,0,26.033333,59.875
2018-01-24,1.4,24.3,66.416667
2018-01-25,1.6,24.308333,71.083333
2018-01-26,0,23.241667,77
2018-01-27,3.2,23.3125,73.25
2018-01-28,0,23.079167,78.416667
2018-01-29,37.2,23.129167,81.833333
2018-01-30,23.8,21.683333,89.583333
2018-01-31,6.2,21.554167,70.875
2018-02-01,0,22.379167,65
2018-02-02,0,22.475,71.625
2018-02-03,0,23.254167,70.166667
2018-02-04,0,21.945833,66.541667
2018-02-05,0,21.716667,70.041667
2018-02-06,2,21.6125,73.041667
2018-02-07,0,22.766667,61.875
2018-02-08,0,23.2875,55.25
2018-02-09,0,24.920833,58.75
2018-02-10,.2,23.4125,73.791667
2018-02-11,0,24.775,73.25
2018-02-12,.8,24.158333,75.5
2018-02-13,0,23.345833,75.958333
2018-02-14,.6,19.029167,89.083333
2018-02-15,23.2,20.5625,81.916667
2018-02-16,0,22.175,75.041667
2018-02-17,4.4,22.175,72.833333
2018-02-18,0,21.379167,78.583333
2018-02-19,0,21.35,81.625
2018-02-20,6.2,21.579167,88.041667
2018-02-21,14.4,22.6875,80.25
2018-02-22,0,23.254167,73.25
2018-02-23,6.2,23.704167,69.958333
2018-02-24,0,22.891667,69.166667
2018-02-25,0,23.216667,67.083333
2018-02-26,0,20.679167,86
2018-02-27,53.6,20.145833,91.875
2018-02-28,18.8,23.2,76.041667
2018-03-01,.6,22.958333,81.666667
2018-03-02,13.2,23.5625,76.541667
2018-03-03,2.4,22.9375,80.083333
2018-03-04,21.6,24.941667,74.291667
2018-03-05,0,24.983333,69.291667
2018-03-06,0,25.233333,71.083333
2018-03-07,0,24.279167,77.125
2018-03-08,28.8,22.975,80.458333
2018-03-09,0,23.116667,75.625
2018-03-10,2.4,22.15,81
2018-03-11,14.6,23.6375,74.583333
2018-03-12,0,24.5875,71.75
2018-03-13,0,25.258333,69.333333
2018-03-14,0,26.320833,65.083333
2018-03-15,0,24.783333,71.083333
2018-03-16,0,22.804167,83.041667
2018-03-17,12.2,22.741667,82.75
2018-03-18,1.6,24.675,72.291667
2018-03-19,0,24.525,71.708333
2018-03-20,0,23.825,79.125
2018-03-21,36.4,22.541667,82.125
2018-03-22,64.4,22.425,78.208333
2018-03-23,0,23.991667,74.75
2018-03-24,1.8,23.766667,70.5
2018-03-25,0,23.754167,68.125
2018-03-26,0,22.1625,77.625
2018-03-27,16.6,22.433333,76.375
2018-03-28,0,23.054167,67.125
2018-03-29,0,23.25,67.958333
2018-03-30,.2,23.266667,67.291667
2018-03-31,0,22.666667,72.833333
2018-04-01,3.6,20.8875,86.458333
2018-04-02,4.4,21.15,87.833333
2018-04-03,2.2,21.3125,86.583333
2018-04-04,2.2,21.225,81.5
2018-04-05,0,21.3375,71.875
2018-04-06,.2,21.5875,68.208333
2018-04-07,0,22.4,67.708333
2018-04-08,0,23.004167,69.041667
2018-04-09,0,23.0875,68
2018-04-10,0,22.6875,67.833333
2018-04-11,0,22.066667,65.5
2018-04-12,0,21.25,66.083333
2018-04-13,0,22.108333,66.708333
2018-04-14,0,22.366667,68.75
2018-04-15,0,20.679167,76.083333
