date,confirmed,deaths
2021-01-02,293,30
2021-01-03,546,20
2021-01-04,559,23
2021-01-05,1928,46
2021-01-06,2192,86
2021-01-07,1706,46
2021-01-08,2342,69
2021-01-09,1856,54
2021-01-10,965,32
2021-01-11,2151,55
2021-01-12,1958,54
2021-01-13,1474,69
2021-01-14,3816,51
2021-01-15,3151,113
2021-01-16,2856,80
2021-01-17,1277,68
2021-01-18,1790,117
2021-01-19,1537,142
2021-01-20,5009,148
2021-01-21,2202,159
2021-01-22,3975,132
2021-01-23,3404,162
2021-01-24,1152,95
2021-01-25,1222,86
2021-01-26,3525,192
2021-01-27,3146,136
2021-01-28,1852,113
2021-01-29,2116,120
2021-01-30,4420,225
2021-01-31,1400,99
2021-02-01,1323,149
2021-02-02,2460,148
2021-02-03,2685,150
2021-02-04,2689,152
2021-02-05,2238,99
2021-02-06,2965,119
2021-02-07,985,69
2021-02-08,919,113
2021-02-09,1442,169
2021-02-10,2744,167
2021-02-11,2205,167
2021-02-12,2445,134
2021-02-13,1828,66
2021-02-14,632,53
2021-02-15,925,120
2021-02-16,1808,108
2021-02-17,1808,81
2021-02-18,2141,105
2021-02-19,1950,73
2021-02-20,1664,50
2021-02-21,753,53
2021-02-22,1161,60
2021-02-23,2147,51
2021-02-24,1608,69
2021-02-25,1420,86
2021-02-26,1572,56
2021-02-27,1688,47
2021-02-28,489,29
2021-03-01,580,78
2021-03-02,1576,74
2021-03-03,704,75
2021-03-04,924,85
2021-03-05,2355,57
2021-03-06,1383,11
2021-03-07,493,22
2021-03-08,461,26
2021-03-09,1610,53
2021-03-10,1349,47
2021-03-11,1240,43
2021-03-12,1247,51
2021-03-13,1162,34
2021-03-14,596,23
2021-03-15,541,34
2021-03-16,1299,50
2021-03-17,824,49
2021-03-18,962,36
2021-03-19,1957,35
2021-03-20,1025,32
2021-03-21,674,16
2021-03-22,460,27
2021-03-23,1275,18
2021-03-24,1183,24
2021-03-25,1165,33
2021-03-26,1091,24
2021-03-27,1112,22
2021-03-28,474,13
2021-03-29,510,22
2021-03-30,1490,23
2021-03-31,1313,18
2021-04-01,1165,16
2021-04-02,830,17
2021-04-03,746,13
2021-04-04,448,11
2021-04-05,664,35
2021-04-06,953,29
2021-04-07,1098,41
2021-04-08,960,25
2021-04-09,1172,24
2021-04-10,737,19
2021-04-11,535,12
2021-04-12,489,14
2021-04-13,995,23
2021-04-14,820,25
2021-04-15,893,18
2021-04-16,773,15
2021-04-17,701,10
2021-04-18,484,9
2021-04-19,442,25
2021-04-20,734,35
2021-04-21,671,23
2021-04-22,536,20
2021-04-23,829,20
2021-04-24,544,12
2021-04-25,371,11
2021-04-26,426,11
2021-04-27,715,34
2021-04-28,634,25
2021-04-29,696,28
2021-04-30,592,12
2021-05-01,530,9
2021-05-02,412,5
2021-05-03,410,17
2021-05-04,675,20
2021-05-05,599,13
2021-05-06,545,16
2021-05-07,630,9
2021-05-08,495,8
2021-05-09,211,4
2021-05-10,320,18
2021-05-11,695,12
2021-05-12,595,17
2021-05-13,666,17
2021-05-14,579,16
2021-05-15,507,16
2021-05-16,210,7
2021-05-17,312,24
2021-05-18,663,24
2021-05-19,586,14
2021-05-20,620,10
2021-05-21,599,9
2021-05-22,515,3
2021-05-23,337,5
2021-05-24,358,5
2021-05-25,535,10
2021-05-26,600,8
2021-05-27,654,8
2021-05-28,721,15
2021-05-29,473,6
2021-05-30,246,6
2021-05-31,344,7
2021-06-01,620,11
2021-06-02,671,13
2021-06-03,585,7
2021-06-04,456,26
2021-06-05,450,8
2021-06-06,350,4
2021-06-07,286,9
2021-06-08,550,23
2021-06-09,677,17
2021-06-10,795,16
2021-06-11,716,10
2021-06-12,604,7
2021-06-13,314,4
2021-06-14,383,9
2021-06-15,726,13
2021-06-16,503,20
2021-06-17,620,15
2021-06-18,684,12
2021-06-19,499,5
2021-06-20,225,6
2021-06-21,393,6
2021-06-22,720,15
2021-06-23,511,5
2021-06-24,645,3
2021-06-25,661,15
2021-06-26,471,3
2021-06-27,248,4
2021-06-28,414,11
2021-06-29,552,17
2021-06-30,342,14
2021-07-01,665,7
2021-07-02,575,10
2021-07-03,495,7
2021-07-04,221,5
2021-07-05,302,7
2021-07-06,719,0
2021-07-07,543,6
2021-07-08,701,6
2021-07-09,718,6
2021-07-10,492,11
2021-07-11,267,4
2021-07-12,250,5
2021-07-13,578,11
2021-07-14,552,7
2021-07-15,616,8
2021-07-16,584,8
2021-07-17,515,8
2021-07-18,230,5
2021-07-19,273,9
2021-07-20,509,6
2021-07-21,651,4
2021-07-22,601,9
2021-07-23,412,6
2021-07-24,295,9
2021-07-25,260,5
2021-07-26,231,10
2021-07-27,445,9
2021-07-28,489,7
2021-07-29,568,7
2021-07-30,529,8
2021-07-31,337,4
2021-08-01,176,4
2021-08-02,231,5
2021-08-03,390,9
2021-08-04,587,9
2021-08-05,343,8
2021-08-06,455,8
2021-08-07,400,7
2021-08-08,156,7
2021-08-09,294,7
2021-08-10,430,5
2021-08-11,350,9
2021-08-12,378,8
2021-08-13,354,9
2021-08-14,178,3
2021-08-15,119,3
2021-08-16,177,2
2021-08-17,269,9
2021-08-18,273,4
2021-08-19,245,2
2021-08-20,178,4
2021-08-21,173,2
2021-08-22,190,1
2021-08-23,88,4
2021-08-24,162,5
2021-08-25,216,8
2021-08-26,177,3
2021-08-27,131,2
2021-08-28,126,3
2021-08-29,63,2
2021-08-30,109,3
2021-08-31,151,5
