date,confirmed,deaths
2021-01-02,1762,33
2021-01-03,3469,37
2021-01-04,2248,43
2021-01-05,12881,334
2021-01-06,14534,289
2021-01-07,14073,257
2021-01-08,13794,261
2021-01-09,11561,269
2021-01-10,5619,53
2021-01-11,3010,28
2021-01-12,12702,283
2021-01-13,15275,323
2021-01-14,13710,304
2021-01-15,15016,311
2021-01-16,13774,285
2021-01-17,5720,60
2021-01-18,2933,42
2021-01-19,15953,331
2021-01-20,14411,334
2021-01-21,12118,286
2021-01-22,9005,254
2021-01-23,14596,231
2021-01-24,5072,79
2021-01-25,2867,54
2021-01-26,12959,282
2021-01-27,16041,332
2021-01-28,14776,311
2021-01-29,13887,241
2021-01-30,13067,232
2021-01-31,4344,80
2021-02-01,2354,56
2021-02-02,14297,365
2021-02-03,12990,249
2021-02-04,13932,293
2021-02-05,12222,327
2021-02-06,11923,221
2021-02-07,4248,69
2021-02-08,2442,49
2021-02-09,13201,424
2021-02-10,13825,332
2021-02-11,11167,323
2021-02-12,11605,229
2021-02-13,9837,220
2021-02-14,2187,75
2021-02-15,2316,38
2021-02-16,11496,398
2021-02-17,11302,258
2021-02-18,10747,280
2021-02-19,11105,259
2021-02-20,10859,244
2021-02-21,4504,56
2021-02-22,2550,43
2021-02-23,12077,357
2021-02-24,12086,329
2021-02-25,11889,345
2021-02-26,11596,256
2021-02-27,11142,299
2021-02-28,4361,65
2021-03-01,3071,53
2021-03-02,10168,468
2021-03-03,13749,367
2021-03-04,12236,313
2021-03-05,13072,370
2021-03-06,13763,353
2021-03-07,6051,46
2021-03-08,4224,121
2021-03-09,16058,517
2021-03-10,15541,469
2021-03-11,14505,440
2021-03-12,15720,521
2021-03-13,15344,434
2021-03-14,7853,158
2021-03-15,5259,100
2021-03-16,17684,679
2021-03-17,17942,617
2021-03-18,17492,659
2021-03-19,18673,620
2021-03-20,18028,616
2021-03-21,8265,144
2021-03-22,4775,44
2021-03-23,20942,1021
2021-03-24,20395,281
2021-03-25,18447,599
2021-03-26,21489,1193
2021-03-27,18124,1051
2021-03-28,9602,244
2021-03-29,5220,292
2021-03-30,21360,1209
2021-03-31,23169,1160
2021-04-01,26567,1082
2021-04-02,16762,818
2021-04-03,7026,198
2021-04-04,7196,270
2021-04-05,4647,145
2021-04-06,22794,1389
2021-04-07,21521,889
2021-04-08,21004,1299
2021-04-09,20701,1008
2021-04-10,17311,657
2021-04-11,8156,510
2021-04-12,5310,181
2021-04-13,18397,1282
2021-04-14,18790,1095
2021-04-15,18067,1060
2021-04-16,17979,791
2021-04-17,17746,771
2021-04-18,6394,253
2021-04-19,4083,178
2021-04-20,19060,1122
2021-04-21,17123,977
2021-04-22,7267,183
2021-04-23,17812,863
2021-04-24,16271,875
2021-04-25,6488,145
2021-04-26,3912,105
2021-04-27,17992,1044
2021-04-28,17013,814
2021-04-29,14920,876
2021-04-30,15551,659
2021-05-01,14335,750
2021-05-02,5323,117
2021-05-03,3149,114
2021-05-04,15464,849
2021-05-05,14230,689
2021-05-06,13470,696
2021-05-07,14502,583
2021-05-08,13100,660
2021-05-09,5785,150
2021-05-10,3183,55
2021-05-11,16318,806
2021-05-12,15672,696
2021-05-13,15649,578
2021-05-14,15915,559
2021-05-15,15486,502
2021-05-16,7554,224
2021-05-17,4001,76
2021-05-18,15779,810
2021-05-19,16788,747
2021-05-20,17936,585
2021-05-21,16511,580
2021-05-22,16736,480
2021-05-23,7510,117
2021-05-24,4622,63
2021-05-25,17477,898
2021-05-26,16671,666
2021-05-27,12782,609
2021-05-28,1583,703
2021-05-29,13653,570
2021-05-30,11037,181
2021-05-31,6113,70
2021-06-01,19466,836
2021-06-02,23122,717
2021-06-03,19733,514
2021-06-04,3898,33
2021-06-05,16939,718
2021-06-06,9959,212
2021-06-07,5074,138
2021-06-08,8022,767
2021-06-09,4192,651
2021-06-10,23033,733
2021-06-11,22875,651
2021-06-12,21221,543
2021-06-13,9272,234
2021-06-14,5309,92
2021-06-15,23227,897
2021-06-16,22582,795
2021-06-17,15054,619
